"num","msttr","ari","fg","fe","words","comm"
102,0.7055,6.2,3.7,86.5,1494,10
107,0.701875,6.2,4.8,83.76,3469,8
106,0.7108988764,9.2,7.3,77.16,7559,21
107,0.7108988764,9.2,7.3,77.16,7559,21
124,0.7017647059,9.8,6.7,78.89,1465,0
114,0.7055263158,5.9,4.2,85.39,3010,7
112,0.7033333333,7.9,5.6,81.63,807,4
123,0.7160655738,9.3,7.1,77.67,9597,19
114,0.7095,7.2,5.2,88.06,3399,10
120,0.7095,6.9,5.7,81.33,1710,16
101,0.7037349398,13.9,11.1,67.22,7161,21
110,0.7246428571,12.7,9.7,71.07,2229,5
100,0.719,6.3,5.3,82.34,3347,9
107,0.7084615385,6.2,4.5,84.47,3150,6
126,0.7041666667,7.9,5.6,81.53,864,7
114,0.7015151515,11.7,9.9,70.47,2785,14
118,0.7185714286,15.5,12.5,63.77,3063,9
110,0.7165517241,6.3,4.2,90.7,2281,3
110,0.7165517241,6.3,4.2,90.7,6356,3
110,0.7165517241,6.3,4.2,90.7,2281,9
110,0.7165517241,6.3,4.2,90.7,6356,9
125,0.7024137931,8.2,6.1,80.31,4878,12
106,0.7093333333,8.1,5.8,81.22,6194,7
108,0.7003030303,13.7,10.2,69.65,2781,10
111,0.732826087,7.5,6.2,80.01,7285,19
102,0.7059183673,7.1,5.3,82.34,7926,5
109,0.7095833333,7.7,6.2,80.11,3656,15
102,0.7015151515,10.1,7.7,76.05,2718,10
111,0.7096,5.4,4.1,85.49,1892,20
129,0.7141176471,7.9,6.1,80.41,2742,7
123,0.7135,6.2,4.7,83.96,1668,7
120,0.7107142857,7,5.7,86.64,5157,7
121,0.7107142857,7,5.7,86.64,5157,7
120,0.7169230769,7.3,5.5,81.93,8600,8
123,0.7052727273,5.8,4.7,83.86,4310,10
109,0.725,8.1,6.2,74.69,378,9
116,0.71,8.4,6,80.62,8222,29
114,0.7148717949,6.1,4.5,84.57,8170,16
118,0.7423076923,8.5,6.4,74.29,2039,11
102,0.7081818182,7.6,6.7,73.37,2782,9
125,0.7060784314,7.7,5.8,81.12,7866,14
128,0.7358333333,8.1,7,77.87,998,4
117,0.7393814433,7.5,5.5,81.93,8505,7
112,0.7005263158,7.5,5.8,81.22,1561,6
106,0.7075,8.2,6.7,78.69,356,3
129,0.7088888889,6.2,5,83.25,2197,11
106,0.721,9.1,7.1,77.67,819,6
108,0.7453846154,5.6,4.2,79.87,1180,0
102,0.7224137931,7.8,5.9,80.92,6386,42
124,0.7166666667,11,8.6,73.71,1521,24
112,0.7112745098,8.2,5.6,81.63,7844,74
119,0.7391891892,7.6,5.5,81.93,3142,3
121,0.7246511628,5.4,4.2,85.39,7053,8
123,0.7136893204,7.1,5.9,80.82,8398,64
111,0.7369230769,9,7.3,77.16,1126,10
114,0.7385,7.1,5.1,82.85,3380,20
124,0.733,8.1,6.5,79.4,1667,8
125,0.733,8.1,6.5,79.4,1667,8
123,0.7136363636,10,7.7,76.05,969,11
111,0.7139473684,7,5.1,82.85,6338,14
124,0.7242666667,5.4,4.5,84.57,6118,10
102,0.7091935484,7.2,5.3,82.44,5064,5
102,0.70453125,5.4,4.4,90.09,5456,10
120,0.7166666667,9.4,6.5,79.19,3980,11
106,0.7006603774,8.4,6.5,79.4,8657,50
107,0.7104201681,7.2,5.4,82.14,9805,22
100,0.715,8.6,6.3,79.7,2166,8
100,0.715,8.6,6.3,79.7,2694,8
100,0.715,8.6,6.3,79.7,2166,9
100,0.715,8.6,6.3,79.7,2694,9
118,0.7078873239,6.5,5,83.25,5636,5
119,0.7078873239,6.5,5,83.25,5636,5
122,0.7197222222,12.8,9.3,77.5,2988,5
118,0.721637931,6.4,4.9,83.46,9335,16
108,0.7157777778,12.7,10.2,69.75,3683,15
112,0.7157777778,12.7,10.2,69.75,3683,15
102,0.7160526316,6.5,4.4,84.88,3055,4
113,0.7101960784,5.6,4.2,85.39,8060,20
100,0.7551724138,8.7,7.1,72.36,4655,7
108,0.7127659574,6.8,4.7,84.07,7522,18
109,0.7127659574,6.8,4.7,84.07,7522,18
106,0.7023287671,8.3,5.3,82.44,5716,10
110,0.7214285714,8.3,6.1,80.31,7909,5
104,0.7063291139,6.8,5.9,80.82,6494,10
122,0.706953125,9.3,6.4,79.5,5893,9
122,0.706953125,9.3,6.4,79.5,9390,9
122,0.706953125,9.3,6.4,79.5,5893,16
122,0.706953125,9.3,6.4,79.5,9390,16
119,0.7031034483,8.4,6.2,80.11,9525,9
126,0.7179452055,6.5,5.1,82.85,5659,1
123,0.705862069,8.1,6.5,79.19,5090,2
113,0.7065217391,5.5,4.1,90.8,5373,16
113,0.7065217391,5.5,4.1,90.8,9336,16
113,0.7065217391,5.5,4.1,90.8,5373,0
113,0.7065217391,5.5,4.1,90.8,9336,0
120,0.7264285714,9.7,8.7,73.61,1201,42
120,0.7264285714,9.7,8.7,73.61,2875,42
120,0.7264285714,9.7,8.7,73.61,1201,0
120,0.7264285714,9.7,8.7,73.61,2875,0
118,0.7060344828,8.2,6.2,80.01,4655,2
